8083	5B-CMF	P208
8084	5B-CMG	P208
8085	5B-DDK	A320
8086	5B-CMB	P06T
8088	5B-DDM	A139
808C	5B-DDN	A320
808D	5B-DDO	A320
808E	5B-DDP	A320
808F	5B-DDQ	A320
8090	5B-DDR	A320
8092	CAF-001	E35L
8096	5B-DEA	BCS3
8097	5B-DEB	BCS3
80A2	5B-CMK	PIVI
80A5	5B-DEC	BCS3
80A6	5B-DEF	BCS3
80A7	19-59	EC45
80A9	19-60	EC45
80AA	19-55	EC45
80AB	19-56	EC45
80AE	5B-DEE	B763
80B4	5B-DEG	A320
80B8	5B-DEH	A320
80BB	H2-UPB	AT8T
80BC	H2-UPC	AT8T
A068	EI-CJX	B752
A0FC	EI-LAX	A332
A129	EI-CSI	B738
A139	EI-EWR	A332
A13D	EI-CVA	A320
A13E	252	CN35
A13F	253	CN35
A146	EI-FFM	B737
A14E	EI-GBJ	CRJ9
A158	256	EC35	A
A15C	EI-CVC	A320
A15D	EI-CVB	A320
A15E	EI-DAA	A332
A173	EI-BKC	AR15
A1AA	EI-CXV	B738
A1BE	EI-SLF	AT72
A1BF	EI-CZK	B734
A1C9	EI-GBL	CRJ9
A1CC	EI-JAD	CRJ9
A1CD	EI-JAE	CRJ9
A1CE	EI-HUU	E295
A1D1	EI-DAR	B738
A1D2	EI-DAP	B738
A1D3	EI-DAO	B738
A1D6	EI-FFV	AA5
A1DC	EI-DBK	B772
A1E1	EI-DBM	B772
A1E7	260	PC9
A1E8	261	PC9
A1E9	262	PC9
A1EA	263	PC9
A1EB	264	PC9	A
A1ED	266	PC9
A1EE	267	PC9
A1F9	EI-HRS	C172
A204	258	LJ45	A
A211	EI-DEC	A320
A214	EI-DEE	A320
A215	EI-DEG	A320
A216	EI-DEH	A320
A217	EI-DEF	A320
A225	EI-DCK	B738
A226	EI-DCJ	B738
A242	EI-DCL	B738
A243	EI-DCM	B738
A244	EI-DCN	B738
A245	EI-DCO	B738
A246	EI-DCP	B738
A247	EI-DGU	A306
A24C	EI-DCZ	B738
A24D	EI-DCY	B738
A24E	EI-DCX	B738
A24F	EI-DCW	B738
A251	EI-DCR	B738
A256	EI-DHA	B738
A259	EI-DHD	B738
A25A	EI-DHE	B738
A25B	EI-DHF	B738
A262	EI-DIP	A332
A263	EI-DHG	B738
A264	EI-DHH	B738
A267	EI-DHK	B738
A278	EI-HRY	DA42
A27A	EI-DHN	B738
A27B	EI-DHR	B738
A27C	EI-DHO	B738
A27D	EI-DHP	B738
A27E	EI-YBZ	R44
A27F	EI-DEK	A320
A280	EI-DEJ	A320
A281	EI-DEI	A320
A282	EI-FXA	AT43
A283	EI-FXB	AT43
A284	EI-FXC	AT43
A285	EI-FXD	AT43
A286	EI-FXE	AT43
A28B	271	EC35
A28C	270	EC35	A
A292	EI-DEL	A320
A293	EI-DEM	A320
A294	EI-DEN	A320
A295	EI-DEO	A320
A2A3	EI-DKG	A320
A2A5	EI-TGF	R22
A2A9	EI-DHV	B738
A2AA	EI-DHW	B738
A2AB	EI-DHX	B738
A2AD	EI-DHZ	B738
A2AE	EI-FFZ	MM16
A2B8	EI-CGH	C210
A2BF	EI-DLB	B738
A2C0	EI-DLC	B738
A2C1	EI-DLD	B738
A2C5	EI-FXG	AT72
A2C9	EI-DEP	A320
A2CA	EI-DES	A320
A2CB	EI-DER	A320
A2D0	EI-IAN	PC6T
