0170	VH-AKI	EXEC
0172	VH-AKK	RV4
0173	VH-AKL	C172
0174	VH-AKM	C182
0175	VH-AKN	B47G
0176	VH-AKO	T18
0177	VH-AKP	BE24
0178	VH-AKQ	DH82
0179	VH-AKR	C182
017B	VH-AKT	R22
017C	VH-AKU	C172
017D	VH-AKV	PA22
017E	VH-AKW	DHC1
0180	VH-AKY	T210
0181	VH-AKZ	AT8T
0184	VH-AK2	AT72
0185	VH-AK3	AT73
0186	VH-AK4	P40
018C	VH-ALA	PA25
018D	VH-ALB	TAIL
018E	VH-ALC	R22
018F	VH-ALD	PA25
0190	VH-ALE	BE55
0192	VH-ALG	MG17
0193	VH-ALH	C152
0194	VH-ALI	C82R
0196	VH-ALK	C182
0197	VH-ALL	PA32
0198	VH-ALM	RV8
0199	VH-ALN	PA27
019A	VH-ALO	CJ6
019B	VH-ALP	LEG2
019C	VH-ALQ	PA36
019D	VH-ALR	BE55
019E	VH-ALS	AUS3
019F	VH-ALT	PA30
01A0	VH-ALU	JAB4
01A2	VH-ALW	C182
01A3	VH-ALX	C210
01A4	VH-ALY	CJ1
01A5	VH-ALZ	C170
01A8	VH-AL2	F406
01A9	VH-AL3	F406
01AA	VH-AL4	PC12
01B1	VH-AMB	GA8
01B2	VH-AMC	C172
01B3	VH-AMD	PC24
01B4	VH-AME	BE17
01B5	VH-AMF	BE20
01B6	VH-AMG	C210
01B7	VH-AMH	H269
01B8	VH-AMI	PA24
01BA	VH-AMK	J1
01BC	VH-AMM	PC24
01BD	VH-AMN	P28A
01BE	VH-AMO	C170
01BF	VH-AMP	P28A
01C0	VH-AMQ	B350
01C1	VH-AMR	B350
01C2	VH-AMS	B350
01C3	VH-AMT	P28A
01C5	VH-AMV	DHC1
01C6	VH-AMW	DH82
01C7	VH-AMX	TOUR
01C8	VH-AMY	DH82
01C9	VH-AMZ	PA25
01D4	VH-ANA	R44
01D5	VH-ANB	P32T
01D6	VH-ANC	B06
01D7	VH-AND	LJ60
01D8	VH-ANE	GA8
01DA	VH-ANG	B47G
01DB	VH-ANH	CT4
01DC	VH-ANI	AT8T
01DE	VH-ANK	E120
01DF	VH-ANL	B06
01E0	VH-ANM	C404
01E1	VH-ANN	E120
01E2	VH-ANO	E170
01E3	VH-ANP	C404
01E4	VH-ANQ	E120
01E5	VH-ANR	BE55
01E6	VH-ANS	C210
01E7	VH-ANT	E170
01E8	VH-ANU	RV6
01EB	VH-ANX	BE36
01ED	VH-ANZ	E120
01F0	VH-AN2	B738
01F8	VH-AOA	C182
01F9	VH-AOB	R22
01FA	VH-AOC	LWIN
01FB	VH-AOD	RV10
01FC	VH-AOE	JPRO
01FD	VH-AOF	CT4
01FE	VH-AOG	ALPI
01FF	VH-AOH	C152
0200	VH-AOI	C210
0202	VH-AOK	C182
0203	VH-AOL	SA3
0204	VH-AOM	C180
0206	VH-AOO	P28U
0208	VH-AOQ	PA34
0209	VH-AOR	FOXT
020A	VH-AOS	C72R
020B	VH-AOT	AT5T
020C	VH-AOU	DH82
020D	VH-AOV	C303
0210	VH-AOY	PTS1
0211	VH-AOZ	C172
021A	VH-AO8	DH8B
021B	VH-A09	DH8C
021D	VH-APB	DH82
021F	VH-APD	H269
0220	VH-APE	DH82
0221	VH-APF	H269
0222	VH-APG	BE36
0223	VH-APH	P68
0224	VH-API	RV6
0225	VH-APJ	C525
0226	VH-APK	C170
0227	VH-APL	BE55
0228	VH-APM	R44
0229	VH-APN	C182
022A	VH-APO	J3
022C	VH-APQ	DH82
022F	VH-APT	P28A
0230	VH-APU	RV10
0231	VH-APV	CT4
0232	VH-APW	C180
0233	VH-APX	AA1
0234	VH-APY	C182
0235	VH-APZ	P28A
0238	VH-AP2	H500
0239	VH-AP3	PTS1
023A	VH-AP4	H500
023C	VH-AP6	H500
023D	VH-AP7	GLEX
023E	VH-AP8	AT8T
0240	VH-AQA	C185
0241	VH-AQB	AT8T
0243	VH-AQD	AT5T
0244	VH-AQE	RLU1
0245	VH-AQF	ST75
0246	VH-AQG	T206
0247	VH-AQH	AT8T
0249	VH-AQJ	DH82
024A	VH-AQK	PA32
024B	VH-AQL	GA8
024C	VH-AQM	R44
024D	VH-AQN	DH82
024F	VH-AQP	CT4
0250	VH-AQQ	C210
0251	VH-AQR	C172
0252	VH-AQS	R22
0253	VH-AQT	R44
0254	VH-AQU	CORS
0255	VH-AQV	DHC2
0256	VH-AQW	AT5T
0257	VH-AQX	PZ04
0258	VH-AQY	CT4
0259	VH-AQZ	H269
0264	VH-ARA	AT8T
0265	VH-ARB	SEAW
0266	VH-ARC	PC12
0267	VH-ARD	P28A
0268	VH-ARE	M20T
0269	VH-ARF	BE55
026B	VH-ARH	C210
026C	VH-ARI	C402
026D	VH-ARJ	C402
026F	VH-ARL	AUS3
0270	VH-ARM	DH82
0271	VH-ARN	C310
0272	VH-ARO	P28R
0274	VH-ARQ	TWEN
0276	VH-ARS	C206
0277	VH-ART	DH82
0278	VH-ARU	DH82
0279	VH-ARV	AM3
027A	VH-ARW	CAMP
027B	VH-ARX	D5
027C	VH-ARY	R44
0288	VH-ASA	BE76
0289	VH-ASB	DH82
028A	VH-ASC	P32R
028B	VH-ASD	PA31
028C	VH-ASE	C421
028D	VH-ASF	RV6
028E	VH-ASG	PTS1
028F	VH-ASH	PA27
0290	VH-ASI	GA8
0291	VH-ASJ	C206
0292	VH-ASK	R44
0294	VH-ASM	PA34
0295	VH-ASN	E120
0296	VH-ASO	M20P
0297	VH-ASP	C180
0299	VH-ASR	EAGX
029A	VH-ASS	LA4
029B	VH-AST	C172
029C	VH-ASU	P28R
029D	VH-ASV	AT5T
029E	VH-ASW	AT5T
029F	VH-ASX	C172
02A0	VH-ASY	P28A
02A1	VH-ASZ	RBEL
02A5	VH-AS3	C402
02AA	VH-AS8	EC30
02AD	VH-ATB	R44
02AF	VH-ATD	L39
02B0	VH-ATE	AT3T
02B1	VH-ATF	AC90
02B2	VH-ATG	FOUG
02B3	VH-ATH	DHC1
02B4	VH-ATI	AT5T
02B5	VH-ATJ	DH82
02B6	VH-ATK	H269
02B8	VH-ATM	DH82
02B9	VH-ATN	DH82
02BA	VH-ATO	NOMA
02BB	VH-ATP	PA31
02BC	VH-ATQ	AT5T
02BD	VH-ATR	C182
02BE	VH-ATS	AUS5
02BF	VH-ATT	C182
02C0	VH-ATU	B47G
02C1	VH-ATV	AT5T
02C2	VH-ATW	CJ1
02C3	VH-ATX	BE18
