0000	N2925S	C150
0003	N2925V	C172
0005	N2925X	C177
0006	N2925Y	C182
0007	N2925Z	HUSK
0008	N29250	CUCA
0009	N29251	C172
000A	N29252	CUCA
000C	N29254	SS2P
000F	N29257	PA34
0010	N29258	CUCA
0017	N2926E	CL35
001A	N2926H	ERCO
001B	N2926J	P28B
001E	N2926M	M20P
001F	N2926N	C120
0023	N2926S	C150
0024	N2926T	VO10
0025	N2926U	P28B
0027	N2926W	C152
0029	N2926Y	C182
002C	N29261	J3
002D	N29262	J3
002E	N29263	P28A
0030	N29265	P28A
0033	N29268	HROC
0038	N2927C	PA32
003A	N2927E	C172
003D	N2927H	GLID
0040	N2927L	M20P
0041	N2927M	P28R
0044	N2927Q	P28R
0047	N2927T	VO10
0048	N2927U	C172
0049	N2927V	BE35
004A	N2927W	B06
004C	N2927Y	C182
004D	N2927Z	PA22
0050	N29272	CUCA
0051	N29273	CUCA
0056	N29278	C210
0057	N29279	CUCA
0059	N2928A	PA32
005C	N2928D	C170
0060	N2928H	HUSK
0061	N2928J	C150
0063	N2928L	M20P
0068	N2928R	C310
0069	N2928S	C150
006A	N2928T	VO10
006B	N2928U	C172
006D	N2928W	B06
006E	N2928X	PA32
0073	N29282	P28A
0074	N29283	CUCA
0076	N29285	P28A
0077	N29286	C172
0079	N29288	CUCA
007A	N29289	T206
007D	N2929B	BE35
007E	N2929C	C180
007F	N2929D	C170
0080	N2929E	CH7A
0081	N2929F	C182
0082	N2929G	WAIX
0087	N2929M	PA12
008C	N2929S	C150
008E	N2929U	C172
008F	N2929V	BE35
0091	N2929X	C177
0099	N29295	CUCA
009A	N29296	P28A
009C	N29298	CUCA
009D	N29299	T206
009E	N293	P337
00A2	N293AC	CH7A
00A4	N293AE	B06
00A9	N293AK	B739
00AB	N293AM	B407
00AF	N293AR	B738
00B6	N293AY	A332
00B9	N293BA	GLID
00BF	N293BG	S92
00D1	N293C	S108
00D5	N293CD	SR20
00DB	N293CK	E55P
00DD	N293CM	VELO
00DF	N293CP	C82T
00E3	N293CT	FDCT
00EC	N293DB	RV3
00ED	N293DC	DV20
00F6	N293DM	RV7
0103	N293E	TBM
0104	N293EA	MD87
0121	N293FE	B763
012D	N293FS	P28R
0136	N293GA	G280
013A	N293GE	B738
0141	N293GM	R44
0151	N293HC	CL30
015C	N293HP	P28A
016D	N293JF	SREY
016E	N293JG	GL5T
