47F0	VP-CPS	EC45
779C	2-SMBC	A320
7FBF	2-STEF	AT76
BE5B	VP-FBQ	DHC7
BE80	VP-BER	A321
BE81	VP-BED	A319
BE82	VP-BRA	B763
BE85	VP-BJB	BCS3
BE8A	VP-BZR	A320
BE8F	VP-BBD	B738
BE90	VP-BXA	A359
BE92	VP-BXD	A359
BE96	VP-BNS	DH8C
BEA4	VP-BGP	E35L
BEA5	VP-BTM	GA6C
BEA6	VP-BTX	A20N
BEA7	VP-BTY	A20N
BEA8	VP-BVH	A20N
BEAF	VP-BTB	A20N
BEB4	VP-BAM	B738
BEB5	VP-BVF	A321
BEB6	VP-BVR	A321
BEB8	VP-BXC	A359
BEB9	VP-BXP	A359
BEBD	VP-BYF	A359
C000	ZJ219	H64
C009	ZH866	C30J
C024	ZH879	C30J
C041	ZH865	C30J
C04C	ZH870	C30J
C04E	ZZ175	C17
C06A	ZH878	C30J
C06D	ZJ118	EH10
C06E	ZJ119	EH10
C06F	ZJ120	EH10
C070	ZJ121	EH10
C071	ZJ122	EH10
C072	ZJ123	EH10
C073	ZJ124	EH10
C074	ZJ125	EH10
C075	ZJ126	EH10
C076	ZJ127	EH10
C077	ZJ128	EH10
C07C	XW846	GAZL
C07D	XW847	GAZL
C098	ZJ100	HAWK
C099	ZH871	C30J
C09A	ZH888	C30J
C0AE	ZJ783	AS65
C0BF	ZH867	C30J
C0CC	XZ290	GAZL
C0E2	XX162	HAWK
C0EE	XX177	HAWK
C0F6	XX188	HAWK
C10F	ZH889	C30J
C117	XZ326	GAZL
C136	ZH877	C30J
C144	ZA563	TOR
C14B	ZH868	C30J
C153	ZA553	TOR
C163	ZD741	TOR
C168	ZA606	TOR
C170	ZG791	TOR
C171	ZZ171	C17
C172	ZZ172	C17
C173	ZZ173	C17
C174	ZZ174	C17
C176	ZG729	TOR
C17D	ZH874	C30J
C198	ZH869	C30J
C1C6	ZZ176	C17
C1E2	ZJ703	B412
C1E3	ZJ704	B412
C1E4	ZJ705	B412
C1E5	ZJ706	B412
C1F1	ZH872	C30J
C1FA	ZJ134	EH10
C1FB	ZJ135	EH10
C1FC	ZJ136	EH10
C1FD	ZJ137	EH10
C1FF	ZH875	C30J
C207	ZJ787	AS65
C208	ZZ178	C17
C20A	ZJ168	H64
C20C	ZJ173	H64
C216	ZA731	GAZL
C218	ZA736	GAZL
C219	ZA766	GAZL
C21C	ZA772	GAZL
C222	ZB665	GAZL
C224	ZJ129	EH10
C225	ZJ130	EH10
C226	ZJ131	EH10
C227	ZJ132	EH10
C22A	ZB671	GAZL
C22E	ZB678	GAZL
C22F	ZB679	GAZL
C235	ZB689	GAZL
C237	ZB691	GAZL
C239	ZB693	GAZL
C24A	ZJ182	H64
C24B	ZJ186	H64
C250	ZJ188	H64
C251	ZJ189	H64
C252	ZJ191	H64
