05EE	XA-GVG	BE9L
05F1	ANX-1206	LJ31
05F3	XA-MIN	PC12
05F4	XA-UKL	B06
05F6	XA-ONE	LJ60
05FC	XA-LPK	C25C
05FD	XA-BUX	LJ35
05FE	XA-GOB	BE40
0600	XA-FOG	A320
0602	XA-TYV	T206
0606	XA-KUZ	EC30
060F	XA-ACR	C25B
0612	ANX-1122	CN35
0623	XB-MGW	C206
062A	XA-AJL	GLF5
063C	XA-HOF	C25C
063D	XB-GTH	LJ45
063E	XA-QST	EC30
0640	XA-UHG	A109
0643	XA-IAO	H25B
0645	XA-UPS	DC93
0646	XB-DUR	C150
0648	XA-DAC	E190
064E	3403	C27J	A
0650	3404	C27J	A
0654	XA-CMA	LJ45
0655	XB-AMV	PC12
0656	XA-VTS	A109
0657	XA-HAC	E190
065C	XB-DBT	C55B	A
065F	ANX-1204	LJ60
0665	XA-UPL	CVLT
0668	XA-LEX	H25B
0669	XA-RAD	H25B
066B	XA-HSF	C680
0672	XA-RAA	H25B
0679	XA-EYR	PA34
067E	XA-DHL	DC93
067F	XA-EGL	C510
0680	XA-AFA	BE40
0686	XA-FTG	C208
0687	XC-SAH	AC90
0688	XA-CAP	C55B
0689	XA-ACC	E190
0697	XA-DGN	C25C
0698	XA-BEG	F900
0699	XA-TMX	A119
069B	XB-MHZ	P32R
06A2	XA-WIN	LJ35
06A4	XA-NDR	B407
06A7	XA-ACE	E190
06AD	XA-IBC	LJ60
06B2	XC-TJN	LJ40
06B5	XB-RGB	LJ60
06B7	XA-UQK	P32R
06B8	XA-LAG	PC12
06BB	XA-UTL	CL60
06BC	3206	C295
06BF	XA-JMR	H25B
06C0	XA-UQO	C55B
06C1	XA-ACI	E190
06C6	XA-XTR	GLF4
06D3	XA-ACJ	E190
06D5	XA-ARO	CL30
06D7	XB-HNL	C182
06D9	ANX-1205	LJ31
06DA	ANX-1230	DH8B
06DC	XA-TAT	DHC6
06DE	XA-ACK	E190
06E5	XA-ACM	E190
06F6	XA-ACN	E190
06FD	XA-ACS	E190
0700	XA-AEA	C56X
0703	XA-ACT	E190
0707	XA-AMA	B738
070B	XA-WOW	GLF5
070D	XA-THI	EC45
0710	XA-AMJ	B738
0711	XB-MNV	C55B
071A	XA-ATI	GLF4
071B	XA-AMK	B738
071C	XA-TZI	CL30
0724	XA-UQT	DC93
0725	XA-UQX	B733
0727	XA-ELF	A109
0731	XA-UMV	LJ31
0733	XA-VET	GLF4
0735	XA-QUI	K100
073A	XA-BLZ	F2TH
073D	XA-GAT	B350
0748	XA-UNK	EC45
074B	XA-FLY	E35L
074F	XA-USE	B350
0750	XA-DAR	H25B
0752	XA-MLS	BE40
0754	XA-UTY	A119
0757	XA-EBF	H25B
075A	XA-ELX	H25B
075C	XA-URM	DC93
075D	XA-WEL	EC45
075F	XA-AMB	B738
0760	XA-AMC	B738
076A	XA-ANA	BE9L
076D	XA-STS	GLF4
076E	XB-NVT	FA20
0771	XA-AME	B738
0772	XA-ALB	GLF6
0773	XA-ZTK	GLF5
0775	XA-IUA	A320
0779	XB-OLM	A109
077A	XB-MTT	T206
077F	1903	A109
0780	XB-MTR	C525
0788	XA-FBZ	C208
078A	XB-FIR	C55B
078F	XA-NTR	LJ31
0794	XA-MCI	T210
0795	XC-MEX	B788
0796	XA-USZ	LJ60
0799	XA-OVB	E145
079B	XA-HNY	GLF4
079C	XA-USV	SR22
079F	XA-LUC	H25C
07A4	XA-PRO	C650
07A6	XA-RUA	CL30
07A8	XA-VOY	A320
07AA	XA-CAR	C680
07AC	XB-RDZ	C650
07AE	XA-BNC	B412
07B0	XA-BNE	B412
07B1	XA-UTD	C56X
07B3	XA-VOZ	A320
