D847	I-A642	EVSS
FDD4	MM81784	H47
FDD5	MM81787	H47
FDD6	MM81866	EH10
FDD7	MM81596	NH90
FDD8	MM81595	NH90
FDD9	MM81594	NH90
FDDC	MM55154	M346
FDDD	MM62280	AT76
FDDE	MM62279	AT76
FDE0	MM81782	H47
FDE1	MM81781	H47
FDE2	CSX81848	A149
FDE5	MM81549	NH90
FDE6	MM81548	NH90
FDE7	MM81547	NH90
FDE8	MM81546	NH90
FDEB	MM81591	NH90
FDED	MM81780	H47
FDEE	MM81589	NH90
FDF3	MM7338	EUFI
FDF5	MM7314	EUFI
FDFA	MM7352	EUFI
FDFC	MM7345	EUFI
FDFD	MM7059	TOR
FDFE	MM7036	TOR
FDFF	MM7068	TOR
FE00	MM7051	TOR
FE01	MM7055	TOR
FE02	MM7019	TOR
FE03	MM7062	TOR
FE04	MM81779	H47
FE08	MM7053	TOR
FE09	MM7054	TOR
FE0B	MM62156	D228
FE0C	MM81824	A139
FE0D	MM81823	A139
FE0E	MM81822	A139
FE0F	MM62161	P180
FE10	MM81807	A139
FE11	MM81806	A139
FE12	MM62158	D228
FE13	MM81545	NH90
FE14	MM62160	P180
FE15	MM81588	NH90
FE16	MM81587	NH90
FE17	MM81586	NH90
FE18	MM81585	NH90
FE19	MM81805	A139
FE1A	MM81804	A139
FE1B	MM81803	A139
FE1D	MM81584	NH90
FE1E	MM62157	D228
FE1F	MM81801	A139
FE20	MM7020	TOR
FE21	MM81800	A139
FE22	MM81799	A139
FE24	MM81797	A139
FE25	MM81796	A139
FE26	MM81541	NH90
FE28	MM62163	P180
FE2B	MM7082	TOR
FE2E	MM7021	TOR
FE2F	MM7047	TOR
FE30	MM7070	TOR
FE32	MM7052	TOR
FE36	MM81583	NH90
FE37	MM81812	A139
FE38	MM81811	A139
FE39	MM62287	P180
FE3A	MM62286	P180
FE6C	MM55144	M346
FE6F	MM81544	NH90
FE70	MM81543	NH90
FE71	MM81542	NH90
FE72	MM81540	NH90
FE73	MM81539	NH90
FE74	MM81538	NH90
FE75	MM62162	P180
FE77	MM62228	B762
FE78	MM81582	NH90
FE79	MM62167	P180
FE7A	MM62226	B762
FE7B	MM62164	P180
FE7D	MM62227	B762
FE92	MM62229	B762
FE94	MM81536	NH90
FE95	MM81535	NH90
FE97	MM81533	NH90
FE99	MM81531	NH90
FE9D	MM62274	P180
FE9E	MM62168	P180
FEA3	MM81685	A109
FEA8	MM81581	NH90
FEA9	MM81580	NH90
FEAB	MM81578	NH90
FEBC	MM81714	A139
FEC4	MM81683	A109
FEC6	MM81671	A109
FEC7	MM81677	A109
FEC8	MM62169	P180
FECA	MM62264	P66T
FECE	MM81674	A109
FED2	MM81528	NH90
FEF5	MM81592	NH90
FF11	MM55076	M339
FF12	MM55075	M339
FF13	MM55074	M339
FF14	MM55073	M339
FF15	MM55072	M339
FF16	MM55070	M339
FF17	MM55069	M339
FF18	MM55068	M339
FF19	MM55067	M339
FF1A	MM55066	M339
FF1B	MM55065	M339
FF1C	MM55064	M339
FF1E	MM55062	M339
FF47	MM81478	B412
FF49	MM881472	B412
FF4B	MM81464	B412
FF4D	MM81462	B412
FF4F	MM81450	B412
FF75	MM62246	P180
FF7C	MM55044	AMX
FF92	MM7190	AMX
FFAD	MM62245	F900
FFAE	MM62244	F900
FFAF	MM62243	A319
FFB2	MM62225	C27J
FFB3	MM62224	C27J
FFB4	MM62223	C27J
FFB5	MM62222	C27J
FFB6	MM62221	C27J
FFB7	MM62220	C27J
FFB8	MM62219	C27J
FFB9	MM62213	P180
FFBA	MM62211	P180
FFBB	MM62212	P180
FFBC	MM62218	C27J
FFBD	MM62217	C27J
FFBE	MM62215	C27J
FFBF	MM62214	C27J
FFC0	MM62210	F900
FFC1	MM62209	A319
FFC2	MM55091	M339
FFC3	MM55090	M339
FFC4	MM55089	M339
FFC5	MM55088	M339
FFC6	MM55087	M339
FFC7	MM55086	M339
FFC9	MM55084	M339
FFCB	MM55082	M339
FFCC	MM55081	M339
FFCD	MM55080	M339
FFCE	MM55079	M339
FFCF	MM55078	M339
FFD0	MM55077	M339
FFD1	MM62207	P180
FFD2	MM62206	P180
FFD3	MM62205	P180
FFD4	MM62204	P180
FFD5	MM62203	P180
FFD6	MM62202	P180
FFD8	MM62201	P180
FFD9	MM62200	P180
FFDA	MM62199	P180
FFDB	CSX62127	C27J
FFDC	06 BLUE	C27J
FFE0	MM62196	C130
FFE1	MM62195	C130
FFE2	MM62194	C130
FFE3	MM62193	C130
FFE4	MM62192	C30J
FFE5	MM62191	C30J
FFE6	MM62190	C30J
FFE7	MM62189	C130
FFE8	MM62188	C130
FFE9	MM62187	C30J
FFEA	MM62186	C130
FFEB	MM62185	C30J
FFEC	MM62184	C30J
FFED	MM62183	C130
FFEE	MM62182	C30J
FFEF	MM62181	C130
FFF0	MM62180	C130
FFF1	MM62179	C130
FFF2	MM62178	C130
FFF3	MM62177	C130
FFF8	MM55085	M339
FFF9	MM62174	A319
FFFB	MM62029	FA50
FFFE	MM62026	FA50
FFFF	MM62171	F900
