400A	VQ-BYB	E170
404C	VP-BTQ	A319
4059	VP-BNZ	B737
4063	VP-BEX	A319
406C	VP-BVG	GLEX
409B	VP-BAP	B721
40B6	VP-BIG	B744
40C9	VP-BHG	A319
40CA	VP-BHI	A319
40CB	VP-BHJ	A319
40CD	VP-BHL	A319
40D0	VP-BHV	A319
40DD	VP-BLK	B74S
40E3	VP-BAH	GL5T
40E6	VP-BIK	B744
40E7	VP-BIM	B744
410D	VP-BJE	CL60
412E	VP-BCZ	A320
4130	VP-BCS	A320
4131	VP-BDT	A320
4135	VP-COO	CL60
4139	VP-CKQ	A332
413B	VP-CJC	GLEX
413F	VP-CLA	FA7X
4143	VP-CSK	B737
4149	VP-CXQ	A320
4157	VP-CKS	A318
4159	VP-CIG	FA7X
415A	VP-CXI	A320
416A	VP-CIF	CL60
4171	VP-CBH	MD82
4174	VP-CXF	A320
4175	VP-CLZ	CL60
4178	VP-CXS	A320
417E	VP-COM	C500
4186	VP-CSG	GLF5
418F	VP-CPT	GLEX
4194	VP-CKH	A318
4195	VP-CKZ	B733
41A1	VP-CXR	A320
41A7	VP-CON	CRJ2
41AC	VP-CAC	A332
41AF	VP-CPY	GLF5
41B0	VP-CXH	A320
41B7	VP-CTA	GLF5
41BB	VP-CAL	B77L
41C2	VP-CYT	GLEX
41C4	VP-CXG	A320
41C9	VP-CSN	A319
41CA	VP-CEO	GLEX
41D1	VP-CCK	GLEX
41D4	VP-CAK	GLF4
41D6	VP-CAS	CL60
41D8	VP-CZA	GLF6
41DA	VP-CXV	A320
41DB	VP-CIO	LJ60
41DC	VP-CUP	CL60
41E1	VP-CNR	GLF6
41E2	VP-CYW	A319
41E8	VP-CZL	GLEX
41E9	VP-CXC	A320
41EA	VP-CXD	A320
41EB	VP-CXE	A320
41F4	VP-FBB	DHC6
41F5	VP-FBL	DHC6
41F6	VP-FAZ	DHC6
41F7	VP-FBC	DHC6
41F8	VP-FBD	BN2P
41F9	VP-FBN	BN2P
41FA	VP-FBR	BN2P
41FE	VP-FMC	BN2P
4235	VP-BMX	H25C
4239	VP-BIZ	B737
423B	VP-BRM	A321
423C	VP-BPH	G200
4241	VP-BZE	FA7X
4244	VP-BLF	GLF6
4245	VP-BIT	A319
4246	VP-BIQ	A319
4247	VP-BIU	A319
424D	VP-BND	B738
4251	VP-BQF	B738
4256	VP-BVO	A321
425A	VP-BYC	B752
425B	VP-BJP	B77W
425C	VP-BXO	B735
4260	VP-BRS	A321
4262	VP-BDA	B789
4267	VP-BMS	A345
4269	VP-BMN	CRJ2
426B	VP-BNJ	A319
426F	VP-BWX	A320
4273	VP-BRE	B763
427A	VP-BBU	A319
4281	VP-BYD	B738
4282	VP-BDX	EC55
4283	VP-BWB	A20N
4286	VP-BDH	B738
4289	VP-BBC	CRJ2
428C	VP-BGL	E35L
428E	VP-BCJ	B734
4293	VP-BBR	B788
4294	VP-BAL	B762
4296	VP-BJW	A320
4299	VP-BHW	A320
429C	VP-BZZ	B737
429F	VP-BUY	B763
42A6	VP-BIV	A319
42A9	VP-BOK	GLEX
42B1	VP-BWT	A20N
42B6	VP-BLV	B752
42B8	VP-BBM	CRJ2
42B9	VP-BNW	H25B
42BE	VP-BNT	A320
42BF	VP-BOG	A320
42C5	VP-BJF	B772
42C6	VP-BNN	A319
42C8	VP-BRL	B752
42CC	VP-BOT	GLF6
42CD	VP-BPB	B752
42D2	VP-BXB	GLF6
42D3	VP-BVC	CRJ1
42D4	VP-BVB	CRJ1
42D5	VP-BVK	CRJ1
42D9	VP-BOC	A321
42E1	VP-BTR	A321
42E4	VP-BVM	GLEX
42E7	VP-BWC	A20N
42E9	VP-BQK	A319
42EC	VP-BOM	A320
42EF	VP-BOO	B752
42F1	VP-BEO	A320
42F4	VP-BBS	B788
42F5	VP-BXW	B763
42F8	VP-BKM	CL60
42F9	VP-BMP	GLF6
42FA	VP-BWS	A321
42FB	VP-BSG	GL5T
42FC	VP-BPG	B77W
42FD	VP-BDL	A320
42FE	VP-BCY	GL5T
42FF	VP-BGS	GL5T
4303	VP-BET	A320
4307	VP-BNK	CRJ1
4308	VP-BNM	CRJ1
4309	VP-BNO	CRJ1
430B	VP-BBH	A321
4310	VP-BLC	B763
4311	VP-BLG	B763
4312	VP-BGG	B738
4316	VP-BZF	GLF6
4317	VP-BAC	A320
4318	VP-BAD	A320
431A	VP-BBL	B748
431B	VP-BBP	B748
4320	VP-BWN	A20N
4321	VP-BVS	B735
4324	VP-BUV	B763
4326	VP-BDR	B772
432E	VP-BMY	H25C
432F	VP-BIR	B738
4330	VP-BHE	E190
4333	VP-BEA	A321
4334	VP-BHH	E190
4338	VP-BUX	B763
4339	VP-BVX	A332
433B	VP-BUS	B738
433E	VP-BJO	B77W
433F	VP-BMI	B738
4341	VP-BLB	B752
4342	VP-BML	B738
4349	VP-BFE	A320
434E	VP-BHN	A321
435A	VP-BIC	B772
435C	VP-BIB	C25C
435D	VP-BWW	A320
435E	VP-BWY	A320
435F	VP-BJS	B748
436D	VP-BWZ	A320
436E	VP-BQR	B738
4379	VP-BBY	B748
4381	VP-BRU	E190
4382	VP-BRV	E190
4388	VP-BAS	FA7X
4398	VP-BII	A320
439C	VP-BZY	B739
439E	VP-BVV	B737
43A1	VP-BLE	B738
43A2	VP-BJG	B772
43A4	VP-BHA	B77W
43A6	VP-BIX	A320
43A7	VP-BRW	A321
43A8	VP-BZD	E190
43AD	VP-BRB	A321
43AE	VP-BRQ	A321
43B3	VP-BUB	A332
43BC	VQ-BXG	FA8X
43C3	VQ-BVB	B748
43C4	VQ-BVC	B748
43C6	VQ-BVH	DH8D
43C7	VQ-BVI	DH8C
43C9	VQ-BTC	B738
43CB	VQ-BVK	B738
43CC	VQ-BVL	B738
43CE	VQ-BKJ	GL7T
43D0	VQ-BVR	B748
43D1	VQ-BVS	FA7X
43DC	VQ-BTL	A20N
43DD	VQ-BUA	B77W
43DE	VQ-BUB	B77W
43DF	VQ-BUC	B77W
43E3	VQ-BWW	B744
43E5	VQ-BWV	A319
43E6	VQ-BBB	B739
43EA	VQ-BFY	A359
43EB	VQ-BVF	B734
43F5	VQ-BBA	B38M
43F8	VQ-BUP	B763
43FA	VQ-BWY	B748
43FD	VQ-BNZ	GLF6
4400	VQ-BBK	H25B
4403	VQ-BIL	B77W
4404	VQ-BLV	GLF6
440B	VQ-BYC	E170
440D	VQ-BYK	E170
440F	VQ-BYD	E170
4411	VQ-BYG	E170
4414	VQ-BYM	E170
4415	VQ-BYN	E170
4417	VQ-BYS	E170
4418	VQ-BYV	E170
441D	VQ-BLX	B737
441F	VQ-BBM	B748
4421	VQ-BZS	A320
4424	VQ-BRS	A321
4427	VQ-BCK	A20N
4429	VQ-BCF	A20N
442A	VQ-BHB	B738
4433	VQ-BHX	B738
4435	VQ-BCE	A321
443B	VQ-BDD	B738
443E	VQ-BIO	FA7X
4442	VQ-BTW	A320
4443	VQ-BTX	A320
4446	VQ-BRA	A20N
4447	VQ-BRB	A20N
444C	VQ-BGX	A321
444E	VQ-BGH	B737
4452	VQ-BTR	AT76
4453	VQ-BGV	B38M
4455	VQ-BBL	B739
4457	VQ-BYX	B739
4458	VQ-BFS	B738
445B	VQ-BZA	B77W
445C	VQ-BUO	B763
445F	VQ-BGG	B752
4462	VQ-BXH	FA8X
4467	VQ-BAO	B77L
4468	VQ-BOK	GL7T
4469	VQ-BDR	B738
446B	VQ-BSC	A20N
446C	VQ-BFZ	A359
446E	VQ-BXR	A320
4473	VQ-BIK	B38M
4475	VQ-BZF	B77W
4476	VQ-BFK	B77W
4478	VQ-BBW	B738
447A	VQ-BEN	B763
447F	VQ-BXD	FA8X
4481	VQ-BOX	A319
4482	VQ-BGL	B77W
4483	VQ-BGP	B77W
4484	VQ-BFT	B738
4485	VQ-BGN	B738
4489	VQ-BEO	B763
448A	VQ-BTO	A20N
4491	VQ-BFN	B77W
4492	VQ-BFO	B77W
4493	VQ-BSD	A20N
44A6	VQ-BPT	B738
44A7	VQ-BZK	B77W
44B4	VQ-BVD	A21N
44B6	VQ-BYZ	A333
44B7	VQ-BFR	B738
44B8	VQ-BFX	B738
44BA	VQ-BLP	B738
44BE	VQ-BZV	B744
44BF	VQ-BXJ	B77W
44C0	VQ-BYT	A20N
44C6	VQ-BCQ	A333
44CA	VQ-BWM	B744
44CE	VQ-BOH	A320
44D0	VQ-BOP	A320
44D1	VQ-BPB	A320
44D2	VQ-BPC	A320
44D4	VQ-BWL	B744
44D5	VQ-BWU	AT76
44D6	VQ-BDP	B738
44DD	VQ-BBQ	B738
44DE	VQ-BFD	B738
44DF	VQ-BFP	B738
44E1	VQ-BDX	A20N
44E2	VQ-BWO	A20N
4500	VQ-BHK	FA8X
4501	VQ-BHF	B738
4502	VQ-BHE	B738
4503	VQ-BMF	B734
4504	VQ-BIG	A332
4505	VQ-BMS	A319
4506	VQ-BQV	B737
4507	VQ-BLU	E170
4508	VQ-BLW	E170
4509	VQ-BXF	FA8X
450A	VQ-BPZ	FA8X
450B	VQ-BCC	GL7T
450D	VQ-BLZ	E190
450F	VQ-BJO	GL7T
4510	VQ-BOY	GL7T
4527	VP-AAF	BN2P
4528	VP-AEW	C402
4529	VP-ALT	C414
452A	VP-AJR	TRIS
452B	VP-AAC	BN2P
452D	VP-ACT	BN2P
452E	VP-AAK	C402
452F	VP-AEJ	BN2P
4530	VP-ANC	BE20
4533	VP-AIA	BN2P
453B	VQ-BOT	CRJ2
453C	VQ-BOR	CRJ2
453D	VQ-BOQ	CRJ2
453F	VQ-BOM	CRJ2
4542	VQ-BOU	CRJ2
4545	VQ-BPE	AT45
4546	VQ-BTV	FA7X
4549	VQ-BOA	A320
4553	VQ-BPM	B738
4559	VQ-BRD	A320
4560	VQ-BPS	B735
4561	VQ-BQA	B752
4563	VQ-BRH	B748
4564	VQ-BRJ	B748
4569	VQ-BPK	A333
456F	VQ-BQH	A321
4571	VQ-BQK	A321
4575	VQ-BQD	B77W
457A	VQ-BSR	B738
457B	VQ-BSS	B738
457C	VQ-BQE	B77W
457F	VQ-BSB	CRJ2
