80AE	TS-AFO	SIRA
8646	TS-CSA	DA42
9E47	TS-HSH	AS65
A040	TS-ICA	B733
A041	TS-ICB	B733
A043	TS-ICD	B738
A0AC	TS-IFM	A332
A0AD	TS-IFN	A332
A120	TS-IJA	E170
A121	TS-IJB	E170
A180	TS-IMA	A20N
A181	TS-IMB	A20N
A185	TS-IMF	A320
A186	TS-IMG	A320
A187	TS-IMH	A320
A188	TS-IMI	A320
A18C	TS-IMM	A320
A18D	TS-IMN	A320
A18E	TS-IMO	A319
A190	TS-IMQ	A319
A191	TS-IMR	A320
A192	TS-IMS	A320
A193	TS-IMT	A320
A194	TS-IMU	A320
A195	TS-IMV	A320
A196	TS-IMW	A320
A197	TS-IMX	A20N
A198	TS-IMY	A20N
A199	TS-IMZ	A20N
A1A1	TS-INB	A320
A1A2	TS-INC	A320
A1A3	TS-IND	A320
A1A4	TS-INE	A320
A1A5	TS-INF	A320
A1A6	TS-ING	A320
A1A7	TS-INH	A320
A1A8	TS-INI	A320
A1A9	TS-INJ	A20N
A1AA	TS-INK	A320
A1AB	TS-INL	A20N
A1AC	TS-INM	A20N
A1AE	TS-INO	A320
A1AF	TS-INP	A320
A1B0	TS-INQ	A320
A1B1	TS-INR	A320
A1B3	TS-INT	A320
A1B4	TS-INU	A320
A1CA	TS-IOK	B736
A1CB	TS-IOL	B736
A1CD	TS-ION	B736
A1CF	TS-IOP	B736
A1D1	TS-IOR	B736
A240	TS-ISA	CRJ9
A241	TS-ISB	CRJ9
A242	TS-ISC	CRJ9
A260	TS-ITA	A320
A261	TS-ITB	A320
A262	TS-ITC	A320
A263	TS-ITD	A320
A2C0	TS-IWA	B733
A2C1	TS-IWB	B733
AC24	TS-LBE	AT75
AC25	TS-LBF	AT76
AC26	TS-LBG	AT76
B261	Z21012	C130
B262	Z21113	C130
B26A	Z21121	C130
B26B	Z21122	C130
B26D	Z21014	C130
B26E	Z21015	C130
B26F	TS-MTP	C130
BA64	Z94045	L410
