1F0C	OH-LTS	A333
1F0D	OH-LTT	A333
1F2E	OH-LVA	A319
1F2F	OH-LVB	A319
1F30	OH-LVC	A319
1F31	OH-LVD	A319
1F34	OH-LVG	A319
1F35	OH-LVH	A319
1F36	OH-LVI	A319
1F38	OH-LVK	A319
1F39	OH-LVL	A319
1F48	OH-LWA	A359
1F49	OH-LWB	A359
1F4A	OH-LWC	A359
1F4B	OH-LWD	A359
1F4C	OH-LWE	A359
1F4D	OH-LWF	A359
1F4E	OH-LWG	A359
1F4F	OH-LWH	A359
1F50	OH-LWI	A359
1F52	OH-LWK	A359
1F53	OH-LWL	A359
1F54	OH-LWM	A359
1F55	OH-LWN	A359
1F56	OH-LWO	A359
1F57	OH-LWP	A359
1F59	OH-LWR	A359
1F5A	OH-LWS	A359
1F5B	OH-LWT	A359
1F62	OH-LXA	A320
1F63	OH-LXB	A320
1F64	OH-LXC	A320
1F65	OH-LXD	A320
1F67	OH-LXF	A320
1F69	OH-LXH	A320
1F6A	OH-LXI	A320
1F6C	OH-LXK	A320
1F6D	OH-LXL	A320
1F6E	OH-LXM	A320
1F98	OH-LZC	A321
1F99	OH-LZD	A321
1F9A	OH-LZE	A321
1F9B	OH-LZF	A321
1F9C	OH-LZG	A321
1F9D	OH-LZH	A321
1FA0	OH-LZK	A321
1FA1	OH-LZL	A321
1FA2	OH-LZM	A321
1FA3	OH-LZN	A321
1FA4	OH-LZO	A321
1FA5	OH-LZP	A321
1FA7	OH-LZR	A321
1FA8	OH-LZS	A321
1FA9	OH-LZT	A321
1FAA	OH-LZU	A321
1FB2	OH-MAC	M5
1FB4	OH-MAE	M7
1FB8	OH-MAI	M5
1FBD	OH-MAN	PC12
208B	OH-MIL	M6
208F	OH-MIP	PC12
20C6	OH-MKS	DA42
213C	OH-MPG	BT36
2197	OH-MST	M7
21DF	OH-MVN	D228
21E0	OH-MVO	D228
225F	OH-NAL	C177
2636	OH-OMG	C182
279E	OH-PAC	P28A
27B3	OH-PAX	C206
27C1	OH-PBL	PC12
27D8	OH-PCI	P28A
27D9	OH-PCJ	P28A
27EF	OH-PDF	P28A
2838	OH-PGA	P28U
2871	OH-PIF	P28A
2884	OH-PIY	P28B
288D	OH-PJH	P28A
288F	OH-PJJ	P28A
2897	OH-PJR	P28R
28B3	OH-PKT	P28A
28C5	OH-PLL	P28A
28DE	OH-PMK	P28R
28E8	OH-PMU	P32R
2969	OH-PRT	P32T
2991	OH-PTH	P28A
29D9	OH-PWB	P28A
2A18	OH-PYM	P28T
2CF6	OH-RAS	TOBA
2D15	OH-RBX	C56X
2D44	OH-RDS	PC12
2DD1	OH-RJD	PC12
300A	OH-SFA	SB91
300F	OH-SFF	SB91
3015	OH-SFL	SB91
3017	OH-SFN	SB91
3018	OH-SFO	SB91
3019	OH-SFP	SB91
3020	OH-SFW	SB91
3044	OH-SHG	P46T
3047	OH-SHJ	DA40
3051	OH-SHT	DA42
3149	OH-SRH	C172
316E	OH-SSS	PC12
3181	OH-STL	DA40
3188	OH-STS	DA42
31CC	OH-SWI	C25A
31CD	OH-SWJ	C25A
3238	OH-TAM	DA50
324C	OH-TBG	TOBA
3282	OH-TDI	DA40
32AE	OH-TFA	E55P
32AF	OH-TFB	PC12
32B0	OH-TFC	E550
32B1	OH-TFD	E55P
32B2	OH-TFE	E55P
3307	OH-TIL	P28A
3360	OH-TLW	P28A
33AE	OH-TOW	PK23
33B8	OH-TPG	SIRA
33BA	OH-TPI	SIRA
3434	OH-TUA	PC12
346B	OH-TWD	PC12
3777	OH-VAD	PC12
377E	OH-VAK	PIVI
3807	OH-VFR	C180
3856	OH-VIS	PC12
3869	OH-VJL	PZ04
3A2C	OH-WAU	PC12
3AEA	OH-WIC	CL60
3AFE	OH-WIW	CL60
3AFF	OH-WIX	FA7X
3B9A	OH-WOW	DA40
3C11	OH-WTL	P28A
3C6A	OH-WWW	PC12
3CF7	OH-XCH	FOX
3D24	OH-XEA	EAGL
3DB5	OH-XJP	LNC2
3DD1	OH-XKR	FOX
3DFE	OH-XMK	AUS5
3E07	OH-XMT	RV6
3E19	OH-XNL	RV7
3E3B	OH-XOT	RV6
3E44	OH-XPC	PTS1
3E8C	OH-XRW	RV6
3EB1	OH-XTH	RV6
3F27	OH-XXV	PK25
3FC8	OH-YEA	PC12
3FCC	OH-YEE	C172
4020	OH-YHK	PK15
43C5	OH-ZRH	PC12
49B1	OH-U385	EV97
49CB	OH-U411	TL20
49D3	OH-U419	EV97
49D9	OH-U425	EV97
49E7	OH-U439	C42
49FF	OH-U463	KP2
4A0A	OH-U474	WT9
4A1E	OH-U494	EV97
4A29	OH-U505	FK9
4A50	OH-U544	ZEPH
4A5C	OH-U556	EV97
4A5E	OH-U558	FK9
4A69	OH-U569	EV97
4A84	OH-U596	EV97
4AAA	OH-U634	EVSS
4AAE	OH-U638	FAET
4ACD	OH-U669	PIVI
4AD3	OH-U675	ZEPH
4AE7	OH-U695	FAET
594F	OH-383	RF5
5958	OH-392	RF5
59F3	OH-547	GLID
59F8	OH-552	GLID
5A27	OH-599	GLID
5A56	OH-646	G109
5A69	OH-665	G109
5A7C	OH-684	GLID
5AAF	OH-735	GLID
5AB1	OH-737	G109
5AE0	OH-784	GLID
5B67	OH-919	GLIM
5B97	OH-967	GLID
5B99	OH-969	GLID
