0182	YR-SCJ	DV20
0441	YR-ABA	A319
0442	YR-ABB	A319
0443	YR-ABC	BCS1
0461	YR-ACA	AT76
0465	YR-ACE	PA32
0467	YR-ACG	E400
0481	YR-ADA	A320
0482	YR-ADB	A320
0483	YR-ADC	A320
0489	YR-ADI	A321
0495	YR-ADU	SR20
04C2	YR-AFB	C150
04CC	YR-AFL	C152
04E2	YR-AGB	A320
04E3	YR-AGC	A320
0592	YR-ALR	ALO3
05A1	YR-AMA	B735
05A2	YR-AMB	B735
05A5	YR-AME	B735
05A7	YR-AMG	C82S
05C2	YR-ANB	C172
05C3	YR-ANC	C172
05C4	YR-AND	PA31
05C7	YR-ANG	C72R
0602	YR-APB	AN2
0642	YR-ARB	CRUZ
0643	YR-ARC	CRUZ
0644	YR-ARD	CRUZ
0661	YR-ASA	A318
0662	YR-ASB	A318
0663	YR-ASC	A318
0664	YR-ASD	A318
0681	YR-ATA	AT45
0683	YR-ATC	AT45
0685	YR-ATE	AT45
0687	YR-ATG	AT45
0688	YR-ATH	AT75
0689	YR-ATI	AT75
068A	YR-ATJ	AT76
068B	YR-ATK	AT76
068C	YR-ATL	AT76
068D	YR-ATM	AT76
06E5	YR-AWE	C72R
0830	YR-BAP	B733
083A	YR-BAZ	B734
08A5	YR-BEE	A320
08E2	YR-BGB	B733
08E4	YR-BGD	B733
08E6	YR-BGF	B737
08E7	YR-BGG	B737
08E8	YR-BGH	B737
08E9	YR-BGI	B737
08EA	YR-BGJ	B738
08EB	YR-BGK	B738
08EC	YR-BGL	B738
08ED	YR-BGM	B738
08EE	YR-BGN	B38M
0927	YR-BAG	B735
0972	YR-BKR	R44
09A2	YR-BMB	B738
09A3	YR-BMC	B738
09A6	YR-BMF	B738
09A8	YR-BMH	B738
09A9	YR-BMI	B738
09B2	YR-BMR	B737
09CE	YR-BNN	BN2P
09D2	YR-BNR	BN2P
0AAE	YR-BUN	BCS3
0ABA	YR-BUZ	A320
0AC3	YR-BVC	IR46
0AC5	YR-BVE	IR46
0AC6	YR-BVF	IR46
0AC8	YR-BVH	IR46
0AC9	YR-BVI	IR46
0ACA	YR-BVJ	IR46
0ACB	YR-BVK	IR46
