422C	TG-BOP	PA31
422D	TG-AOK	B06
422E	TG-CTY	AS50
4230	TG-CMB	R66
4231	TG-WIN	R44
4232	TG-FER	T206
4233	TG-ABE	C210
4235	TG-NAH	PA23
423E	TG-LYL	C208
4241	TG-MCS	B06
4242	TG-SEX	PA34
4243	TG-SYR	R44
4247	TG-OSO	AS50
4248	TG-MAG	B06
424C	TG-CIB	T210
424E	TG-PET	C182
424F	TG-PIC	C182
4255	TG-NAI	C208
4258	TG-CHI	C172
4259	TG-ATC	AT75
425C	TG-EZF	C25C
4269	TG-EAA	C172
4275	TG-TIT	B06
427F	FAG141	B412
4280	FAG142	B412
4290	030	T206
4291	031	T206
4295	TG-LUB	AS50
4298	TG-ACE	B407
4300	FAG130	UH1
4303	TG-TAX	BE33
4310	TG-ERC	AS50
4311	TG-TJL	L410
4320	TG-GMP	B350
432F	TG-DHL	C182
433B	TG-CHJ	B06
434A	TG-NOV	B429
4356	101	B412	A
435C	143	B429	A
4374	TG-DHJ	AT43
438D	TG-SOL	T210
439F	TG-IMT	PA34
4421	TG-QUI	C182
4453	EMA-400	P28A
4500	TG-RRC	C182
4510	TG-DOC	C172
4550	TG-LAR	C82S
4610	TG-JFM	B06
4669	TG-PAP	C206
4701	TG-CCL	BE95
4790	TG-JAO	PA46
48EF	TG-TYA	PA34
4900	TG-ESE	B407
4950	TG-KIS	P28B
4977	TG-SPY	AS50
4FFF	TG-RIF	C525
6001	8R-GTG	C208
6003	8R-GHT	C208
6004	8R-GHM	BN2P
6005	8R-GAD	C208
6006	8R-GAE	C208
6007	8R-GAQ	B190
6008	8R-EAR	B190
600C	8R-GRD	TRIS
600D	8R-GRF	TRIS
600F	8R-YAC	C208
6010	8R-ASL	C208
6011	8R-NBH	C208
6012	8R-GER	BN2P
6013	8R-GFA	C208
6014	8R-GUY	C208
6015	8R-SUP	C206
6018	8R-GCB	C208
6019	8R-NYP	BN2P
601A	8R-GGK	SC7
601B	8R-GBW	SC7
601D	8R-GMN	BN2P
6020	8R-GCC	C208
6021	8R-GBK	BN2P
6022	8R-GGT	BN2P
6023	8R-BKA	C206
6024	8R-ABK	C208
6026	8R-GHU	B190
6028	8R-ZOM	C206
6029	8R-BKP	C208
602D	8R-LBJ	R66
602F	8R-GRC	BN2P
6030	8R-GAS	C208
6032	8R-GAH	C208
6033	8R-GZR	C208
6035	8R-MIA	B412
6036	8R-1GY	B350
6037	8R-GAI	C208
6038	8R-BKB	C208
603A	8R-GIA	C208
603B	8R-AYA	B412
603E	8R-ETR	D228
603F	8R-JAG	D228
8001	HH-LLS	C207
8002	HH-VAN	C208
8007	HH-MAF	C207
800F	HH-JSB	C208
A000	FAH020	C208
A003	FAH019	C208
A004	FAH-020	C208
A009	FAH021	C208
A00A	HR-CLQ	BE20
A00C	HR-AYM	AT76
A00D	HR-AWQ	B407
A00E	HR-VIP	B407
A013	HR-NAM	C210
A014	HR-REM	C152
A01B	HR-AUM	B06
A024	HR-AVP	C172
A02A	HR-ILM	PIAT
A031	HR-HJS	SF34
A032	HR-HSG	B407
A033	FAH-945	UH1
A034	HR-ECO	B407
A036	FAH-080	BE9L
A038	FAH-991	EC45
A039	FAH-990	EC45
A03F	HR-HAZ	B407
A040	FAH-993	EC45
A042	FAH-257	TUCA
A122	HR-AVV	C172
A511	HR-GCE	B407
AFA1	FAH001	E35L
C000	J8-JET	C25B
C020	J8-SUN	DHC6
C080	J8-MUS	DHC6
C200	J8-VBQ	DHC6
C201	J8-GND	DHC6
C203	J8-RUT	DHC6
C21F	J8-CRU	DHC6
C23F	J8-RAF	DHC6
C3FF	J8-GAW	DHC6
E2AE	JDFH-36	B429
E2AF	JDFH-37	B429
E2B0	JDFT-11	B350
