5C3B	JA10MZ	C25M
5C57	JA10PD	EC35
5C8C	JA10RJ	CRJ7
5C8D	JA10RK	B738
5CB8	JA10TE	A139
5CE4	JA10VA	A320
5D04	JA10WJ	A35K
5D1C	JA10XJ	A359
5D37	JA10YM	A109
5D66	JA110A	A109
5D6D	JA110H	A109
5D77	JA110T	EC35
5D78	JA110U	EC55
5D7A	JA110W	A109
5D7C	JA110Y	B412
5D88	JA111A	A321
5D8F	JA111H	C172
5D9E	JA111Y	E300
5DAA	JA112A	A321
5DCC	JA113A	A321
5DD3	JA113H	C172
5DEE	JA114A	A321
5E39	JA116H	C172
5E54	JA117A	BK17
5E55	JA117B	BK17
5E56	JA117C	EC45
5E63	JA117R	EC45
5E65	JA117T	BK17
5E79	JA118D	EC35
5E82	JA118N	C560
5E9B	JA119D	EC35
5E9C	JA119E	AS65
5E9E	JA119G	AS65
5E9F	JA119H	B412
5EA0	JA119J	B412
5EA1	JA119K	EC45
5EA3	JA119M	A139
5EA5	JA119P	B412
5EA9	JA119T	B412
5EAC	JA119W	A139
5EAD	JA119X	AS65
5EAE	JA119Y	EC25
5EAF	JA119Z	AS65
5EB8	JA11AJ	C208
5EBC	JA11AN	B737
5EBD	JA11AP	EC45
5EC6	JAIIAY	C25C
5EC8	JA11BA	C172
5F30	JA11FJ	E75L
5F58	JA11HA	DA42
5F5A	JA11HC	AT46
5F65	JA11HP	AS65
5F72	JA11JC	AT46
5F78	JA11JA	A320
5F9F	JA11KZ	B748
5FC5	JA11MP	EC55
6020	JA11RJ	CRJ7
6021	JA11RK	B738
6078	JA11VA	A320
6098	JA11WJ	A35K
60B0	JA11XJ	A359
60FD	JA120D	EC35
6106	JA120N	C560
611C	JA121A	HDJT
611D	JA121B	P46T
611F	JA121D	EC35
6128	JA121N	BE20
612D	JA121T	B430
6132	JA121Y	HDJT
614A	JA122N	BE20
6164	JA123E	PA34
6165	JA123F	C510
616D	JA123P	HDJT
6171	JA123T	PA46
61A4	JA125A	AS50
61A7	JA125D	EC35
61AD	JA125K	AS50
61C9	JA126D	B429
620D	JA128D	B429
622F	JA129D	EC35
624C	JA12AJ	C208
6250	JA12AN	B737
62C4	JA12FJ	E75L
62EC	JA12HA	DA42
62EE	JA12HC	AT46
630C	JA12JJ	A320
6333	JA12KZ	B748
6359	JA12MP	A139
63B4	JA12RJ	CRJ7
63B5	JA12VA	A320
640C	JA12RK	B738
6444	JA12XJ	A359
648E	JA130A	AS50
6495	JA130H	EC30
64B0	JA131A	A21N
64C6	JA131Y	A139
64D2	JA132A	A21N
64F4	JA133A	A21N
6516	JA134A	A21N
6538	JA135A	A21N
653C	JA135E	EC35
653E	JA135G	EC35
653F	JA135H	EC35
654F	JA135Z	R66
655A	JA136A	A21N
657C	JA137A	A21N
659E	JA138A	A21N
65C0	JA139A	A21N
65CB	JA139M	A139
65CF	JA139R	A139
65E0	JA13AJ	C208
6658	JA13FJ	E75L
6680	JA13HA	DA42
6682	JA13HC	AT46
66A0	JA13JJ	A320
66C7	JA13KZ	B748
66ED	JA13MP	A139
6705	JA13NP	A139
6712	JA13PC	A109
6748	JA13RJ	CRJ7
6822	JA140A	A21N
6844	JA141A	A21N
6866	JA142A	A21N
6888	JA143A	A21N
68AA	JA144A	A21N
68CC	JA145A	A21N
68CE	JA145C	EC45
68EE	JA146A	A21N
6910	JA147A	A21N
6932	JA148A	A21N
6954	JA149A	A21N
6974	JA14AJ	C208
6978	JA14AN	B737
69B5	JA14DB	BE58
69EC	JA14FJ	E75L
6A16	JA14HC	AT46
6A34	JA14JJ	A320
6A51	JA14KP	A109
6A5B	JA14KZ	B748
6A81	JA14MP	A139
6AA8	JA14PE	B429
6ADC	JA14RJ	CRJ7
6B07	JA14TD	A139
6B34	JA14VA	A320
6B59	JA14WP	E300
6B6C	JA14XJ	A359
6BB6	JA150A	A21N
6BD8	JA151A	A21N
6BE9	JA151T	EC35
6BFA	JA152A	A21N
6C0B	JA152T	B505
6C10	JA152Y	A139
6C26	JA153L	EC45
6C67	JA155H	EC55
6D02	JA15AC	A109
6D0C	JA15AN	B737
6D0F	JA15AR	A139
6D4A	JA15DC	BE58
6D80	JA15FJ	E75L
6DA8	JA15HA	DA42
6DC8	JA15JJ	A320
6DE5	JA15KP	A139
6DEF	JA15KZ	B748
6E15	JA15MP	EC55
6EA5	JA15TP	B429
6EC8	JA15VA	A320
6F00	JA15XJ	A359
6F10	JA15YA	A139
6F7D	JA161T	EC35
708D	JA169T	A169
7096	JA16AC	F2TH
709F	JA16AM	B412
70A0	JA16AN	B737
70E0	JA16DE	BE58
7114	JA16FJ	E75L
715C	JA16JJ	A320
7179	JA16KP	EC45
7183	JA16KZ	B748
7294	JA16XJ	A359
7344	JA173A	EC45
7345	JA173B	EC45
742A	JA17AC	A109
7434	JA17AN	B737
7437	JA17AR	A139
7470	JA17DA	TBM7
7475	JA17DF	BE58
7517	JA17KZ	B748
753D	JA17MP	B412
7628	JA17XJ	A359
7694	JA181A	B505
76B6	JA182A	B505
76D8	JA183A	B505
76FA	JA184A	B505
77BE	JA18AC	A109
77C8	JA18AN	B737
7884	JA18JJ	A320
789A	JA18KG	A139
78AB	JA18KZ	B748
78D1	JA18MP	B412
792D	JA18RK	EC35
79BC	JA18XJ	A359
79DD	JA18YT	B505
7C18	JA19JJ	A320
B3BD	JA201B	GLID
B3C3	JA201H	BE58
B3C7	JA201M	P28U
B3C9	JA201P	A20N
B3CB	JA201R	P28R
B3EB	JA202P	A20N
B407	JA203H	P68
B40D	JA203P	A20N
B42F	JA204P	A20N
B451	JA205P	A20N
B46D	JA206H	T206
B473	JA206P	A20N
B495	JA207P	A20N
B4B7	JA208P	A20N
B4D9	JA209P	A20N
B540	JA20DW	PC24
B58F	JA20HD	SR22
B5AC	JA20JJ	A320
B5EE	JA20MC	A320
B61F	JA20PD	EC35
B64E	JA20RC	AT46
B733	JA210F	EC55
B73B	JA210P	A20N
B750	JA211A	A20N
B758	JA211J	E170
B75D	JA211P	A20N
B772	JA212A	A20N
B779	JA212H	BE58
B77A	JA212J	E170
B77F	JA212P	A20N
B794	JA213A	A20N
B79C	JA213J	E170
B7A1	JA213P	A20N
B7B6	JA214A	A20N
B7BE	JA214J	E170
B7C3	JA214P	A20N
B7D8	JA215A	A20N
B7DF	JA215H	BE58
B7E0	JA215J	E170
B7E5	JA215P	A20N
B7FA	JA216A	A20N
B802	JA216J	E170
B807	JA216P	A20N
B815	JA2173	GLID
B81C	JA217A	A20N
B824	JA217J	E170
B829	JA217P	A20N
B83E	JA218A	A20N
B846	JA218J	E170
B84B	JA218P	A20N
B860	JA219A	A20N
B868	JA219J	E170
B86D	JA219P	A20N
B8C7	JA21DH	AS65
B8C9	JA21DK	EC45
B925	JA21HF	SR22
B940	JA21JJ	A320
B99D	JA21NF	R22
B9E7	JA21RH	EC45
BA76	JA21XG	GLID
BAC2	JA220A	A20N
BAC6	JA220E	A139
BACA	JA220J	E170
BACF	JA220P	A20N
BAEC	JA221J	E170
BB06	JA222A	A20N
BB0E	JA222J	E170
BB13	JA222P	A20N
BB30	JA223J	E170
BB3E	JA223Y	S76
BB52	JA224J	E170
BB67	JA2255	GLID
BB74	JA225J	E170
BB84	JA2260	GLID
BB96	JA226J	E170
BB9B	JA226P	A20N
BBB8	JA227J	E170
BBBD	JA227P	A20N
BBDA	JA228J	E170
BBDF	JA228P	A20N
BCBA	JA22HG	SR22
BCD4	JA22JJ	A320
BCFA	JA22KY	SR22
BD16	JA22MC	A320
BD1C	JA22MJ	MJ90
BD31	JA22NF	R22
BD78	JA22RE	GLID
BD81	JA22RP	A109
BF88	JA239A	A139
BFAF	JA23AR	B412
C051	JA23HK	SR22
C068	JA23JJ	A320
C0B0	JA23MJ	MJ90
C0C5	JA23NF	R22
C214	JA241J	E190
C236	JA242J	E190
C258	JA243J	E190
C27A	JA244J	E190
C29C	JA245J	E190
C2BE	JA246J	E190
C2E0	JA247J	E190
C302	JA248J	E190
C324	JA249J	E190
C3DD	JA24HB	A189
C3E6	JA24HL	SR22
C3FC	JA24JJ	A320
C43E	JA24MC	A320
C459	JA24NF	R22
C576	JA2502	GLID
C586	JA250J	E190
C5A8	JA251J	E190
C5CA	JA252J	E190
C5EC	JA253J	E190
C60E	JA254J	E190
C707	JA25CR	SF25
C772	JA25HC	H160
C790	JA25JJ	A320
C7D2	JA25MC	A320
CB5B	JA26LR	A21N
CB66	JA26MC	A320
CD2B	JA2747	GLIM
CE9C	JA27HE	GLID
CEEF	JA27LR	A21N
CEFA	JA27MC	A320
CF6E	JA27RY	S22T
D086	JA282J	C208
D242	JA28HY	EC45
D283	JA28LR	A21N
D28E	JA28MC	A20N
D4DF	JA298B	EC45
D4ED	JA298R	EC45
D622	JA29MC	A20N
