2031	Z3-DAJ	P28R
2033	Z3-DAE	C172
2034	Z3-DAP	P68
2035	Z3-DAR	BE36
2038	Z3-DAU	PA34
3007	E7-SBA	C500
300B	E7-SMS	C525
3018	E7-AAL	C172
301A	E7-MEL	L410
301E	E7-IMB	P06T
3023	E7-PCI	A119
3026	E7-DDB	C182
3027	E7-GPS	C25C
3029	E7-AAN	C172
302A	E7-MUP	ANST
302E	E7-SAJ	ANST
3030	E7-NEL	SF34
3F17	LY-BPD	B735
4013	4L-GAA	CRJ2
403F	4L-TGI	B735
404B	4L-TGB	CRJ2
4055	4L-TGF	B733
4064	4L-ABA	A30B
406A	4L-AVB	MI8
4089	4L-GEO	B742
408C	4L-GTI	B737
408E	4L-SIA	B722
408F	4L-TGV	E190
4092	4L-MWA	B738
4093	4L-BQJ	B738
4096	4L-TGH	E190
40A2	4L-ESA	E120
40A6	4L-GEN	B742
40AF	4L-EFC	A30B
40B0	4L-TIG	B738
40B3	4L-GTD	B738
40B4	4L-MWC	B737
40B6	4L-CCC	EC45
40B8	4L-IGT	B738
40B9	4L-TBA	B733
40BC	4L-CMX	B738
40BD	4L-GEQ	B752
40BF	4L-GEZ	B738
40C0	4L-GRA	B733
40C1	4L-GID	B738
40C2	4L-NIK	B737
40C3	4L-GCG	AS50
40C5	4L-CMA	B738
40C6	4L-GIT	B763
40C7	4L-GTN	B738
40C9	4L-GEK	B733
40CC	4L-UCK	A306
40CD	4L-UKA	B733
40CF	4L-GTG	GLEX
40D1	4L-MLG	B763
40D2	4L-MWB	B772
40D5	4L-GMC	B763
40D7	4L-GES	B763
40D8	4L-GEL	B763
40D9	4L-CME	B763
40DA	4L-GTO	B738
40DB	4L-GTL	B739
40DE	4L-TWO	B738
40DF	4L-GED	B763
40E1	4L-CMC	B763
40E4	4L-GEF	B763
40E5	4L-MWD	B772
40E6	4L-GTV	B738
4D03	4L-GTR	B763
5001	EY-001	B788
5135	EY-309	B733
5138	EY-312	B733
513A	EY-314	A320
513B	EY-315	FA7X
522B	EY-555	B733
5231	EY-561	B733
52EF	EY-751	B752
5309	EY-777	B738
5313	EY-787	B738
6001	4O-MNE	LJ45
6037	4O-MAE	A109
6038	4O-VUK	C172
603F	4O-AOE	E195
6042	4O-AOI	E195
6091	4O-AOA	E195
6095	4O-AOT	F100
6097	4O-AOB	E195
6098	4O-AOC	E195
6182	4O-HCC	B212
6203	XHB033	B412
6204	XHB032	B412
6205	65326	B505
6206	XHB318	B505
7206	EY-706	A310
